,index,title,year,runtime_min,genre,metascore,gross_mil,link_movie,director,actors,link_people,Nominated,Won,country,language,release_date,color,aspect_ratio
0,1,Green Book,2018,130,"['Biography', 'Comedy', 'Drama']",69        ,85.08,https://www.imdb.com/title/tt6966692/,['Peter Farrelly'],"['Viggo Mortensen', 'Mahershala Ali', 'Linda Cardellini', 'Sebastian Maniscalco']","['https://www.imdb.com//name/nm0268380/awards', 'https://www.imdb.com//name/nm0001557/awards', 'https://www.imdb.com//name/nm0991810/awards', 'https://www.imdb.com//name/nm0004802/awards', 'https://www.imdb.com//name/nm1724319/awards']",3,3,USA,English,21 February 2019,Color,2.00 :1
1,2,The Shape of Water,2017,123,"['Adventure', 'Drama', 'Fantasy']",87        ,63.86,https://www.imdb.com/title/tt5580390/,['Guillermo del Toro'],"['Sally Hawkins', 'Octavia Spencer', 'Michael Shannon', 'Doug Jones']","['https://www.imdb.com//name/nm0868219/awards', 'https://www.imdb.com//name/nm1020089/awards', 'https://www.imdb.com//name/nm0818055/awards', 'https://www.imdb.com//name/nm0788335/awards', 'https://www.imdb.com//name/nm0427964/awards']",8,2,USA,English,22 February 2018,Color,1.85 :1
2,3,Moonlight,2016,111,['Drama'],99        ,27.85,https://www.imdb.com/title/tt4975722/,['Barry Jenkins'],"['Mahershala Ali', 'Naomie Harris', 'Trevante Rhodes', 'Alex R. Hibbert']","['https://www.imdb.com//name/nm1503575/awards', 'https://www.imdb.com//name/nm0991810/awards', 'https://www.imdb.com//name/nm0365140/awards', 'https://www.imdb.com//name/nm5218990/awards', 'https://www.imdb.com//name/nm7683379/awards']",3,3,USA,English,9 February 2017,Color,
3,4,Spotlight,2015,129,"['Biography', 'Crime', 'Drama']",93        ,45.06,https://www.imdb.com/title/tt1895587/,['Tom McCarthy'],"['Mark Ruffalo', 'Michael Keaton', 'Rachel McAdams', 'Liev Schreiber']","['https://www.imdb.com//name/nm0565336/awards', 'https://www.imdb.com//name/nm0749263/awards', 'https://www.imdb.com//name/nm0000474/awards', 'https://www.imdb.com//name/nm1046097/awards', 'https://www.imdb.com//name/nm0000630/awards']",7,1,USA,English,25 February 2016,Color,1.85 :1
4,5,Birdman or (The Unexpected Virtue of Ignorance),2014,119,"['Comedy', 'Drama']",87        ,42.34,https://www.imdb.com/title/tt2562232/,['Alejandro G. Iñárritu'],"['Michael Keaton', 'Zach Galifianakis', 'Edward Norton', 'Andrea Riseborough']","['https://www.imdb.com//name/nm0327944/awards', 'https://www.imdb.com//name/nm0000474/awards', 'https://www.imdb.com//name/nm0302108/awards', 'https://www.imdb.com//name/nm0001570/awards', 'https://www.imdb.com//name/nm2057859/awards']",4,0,USA,English,22 January 2015,Color,1.85 :1
5,6,12 Years a Slave,2013,134,"['Biography', 'Drama', 'History']",96        ,56.67,https://www.imdb.com/title/tt2024544/,['Steve McQueen'],"['Chiwetel Ejiofor', 'Michael Kenneth Williams', 'Michael Fassbender', 'Brad Pitt']","['https://www.imdb.com//name/nm2588606/awards', 'https://www.imdb.com//name/nm0252230/awards', 'https://www.imdb.com//name/nm0931324/awards', 'https://www.imdb.com//name/nm1055413/awards', 'https://www.imdb.com//name/nm0000093/awards']",8,2,USA,English,20 February 2014,Color,2.35 :1
6,7,Operation Argo,2012,120,"['Biography', 'Drama', 'Thriller']",86        ,136.03,https://www.imdb.com/title/tt1024648/,['Ben Affleck'],"['Ben Affleck', 'Bryan Cranston', 'John Goodman', 'Alan Arkin']","['https://www.imdb.com//name/nm0000255/awards', 'https://www.imdb.com//name/nm0000255/awards', 'https://www.imdb.com//name/nm0186505/awards', 'https://www.imdb.com//name/nm0000422/awards', 'https://www.imdb.com//name/nm0000273/awards']",4,5,USA,English,8 November 2012,Color,2.39 :1
7,8,The Artist,2011,100,"['Comedy', 'Drama', 'Romance']",89        ,44.67,https://www.imdb.com/title/tt1655442/,['Michel Hazanavicius'],"['Jean Dujardin', 'Bérénice Bejo', 'John Goodman', 'James Cromwell']","['https://www.imdb.com//name/nm0371890/awards', 'https://www.imdb.com//name/nm0241121/awards', 'https://www.imdb.com//name/nm0067367/awards', 'https://www.imdb.com//name/nm0000422/awards', 'https://www.imdb.com//name/nm0000342/awards']",3,2,France,English,9 February 2012, Black and White,1.33 :1
8,9,Kongens store tale,2010,118,"['Biography', 'Drama', 'History']",88        ,138.8,https://www.imdb.com/title/tt1504320/,['Tom Hooper'],"['Colin Firth', 'Geoffrey Rush', 'Helena Bonham Carter', 'Derek Jacobi']","['https://www.imdb.com//name/nm0393799/awards', 'https://www.imdb.com//name/nm0000147/awards', 'https://www.imdb.com//name/nm0001691/awards', 'https://www.imdb.com//name/nm0000307/awards', 'https://www.imdb.com//name/nm0001394/awards']",6,3,UK,English,3 March 2011,Color,1.85 :1
9,10,Slumdog Millionaire - Drengen der havde svar på alt,2008,120,"['Drama', 'Romance']",86        ,141.32,https://www.imdb.com/title/tt1010048/,"['Danny Boyle', 'Loveleen Tandan']","['Dev Patel', 'Freida Pinto', 'Saurabh Shukla', 'Anil Kapoor']","['https://www.imdb.com//name/nm0000965/awards', 'https://www.imdb.com//name/nm0849164/awards', 'https://www.imdb.com//name/nm2353862/awards', 'https://www.imdb.com//name/nm2951768/awards', 'https://www.imdb.com//name/nm0795661/awards', 'https://www.imdb.com//name/nm0438463/awards']",2,1,UK,English,6 March 2009,Color,2.35 :1
